primary,description,context,synonyms,supporting,type_of,sibling,hard_negatives,easy_negatives,exclusions,locale,industry,confidence
Bartender,"Prepares and serves alcoholic and non-alcoholic drinks at a bar, handling orders, payment, and guest interaction.","","barkeep; barman; barmaid; bar staff; drinks server","cocktail preparation; POS/till; responsible alcohol service; customer service; cash handling","","Barista","Bar Manager; Bar Back; Barista; Waiter","Landscaping; Room Attendant","Bar Back",en,hospitality/F&B,guess
Mixologist,"A specialist bartender focused on crafting original cocktails, pairing flavors, and developing drink menus.","","craft bartender; cocktail mixologist; cocktail specialist","advanced cocktail preparation; flavor pairing; menu/recipe development; presentation and garnishing; spirits knowledge","Bartender","","Sommelier; Barista; Bar Back","Housekeeper; Landscaping","",en,hospitality/F&B,guess
Sommelier,"Wine specialist who curates wine lists, pairs wine with food, and manages cellar stock for a venue.","","wine steward; wine specialist; cellar master","wine pairing; wine list curation; cellar management; tasting/palate assessment; customer education","","Bartender; Mixologist","Bartender; Waiter; Mixologist","Cleaner; Landscaping","",en,hospitality/F&B,guess
Barista,"Prepares espresso-based coffee drinks and provides counter service in a cafe or coffee bar setting.","","coffee specialist; coffee maker; cafe assistant; bar staff (coffee)","latte art; espresso machine operation; POS/till; customer service","","Bartender","Kitchen Assistant; Office Assistant; Cleaner; Bartender","Farm Worker; Forklift Operator","",en,hospitality/F&B,guess
Sous Chef,"Second-in-command in the kitchen, overseeing food prep, staff, and service quality under the head chef.","","second chef; deputy head chef; assistant head chef","kitchen management; menu planning; food safety certificate; staff supervision; knife skills","Chef","","Kitchen Assistant; Baker; Line Cook","Front Desk Agent; Landscaping","",en,hospitality/kitchen,guess
Baker,"Prepares bread and baked goods from scratch, managing dough, ovens, and daily bakery output.","","bread baker; bakery staff; baking specialist","dough preparation; oven operation; food safety certificate; recipe scaling; decorating and finishing","","Pastry Chef","Pastry Chef; Sous Chef; Kitchen Assistant","Concierge Staff; Landscaping","",en,hospitality/kitchen,guess
Pastry Chef,"Specializes in desserts and pastries, from plated dessert design to bulk pastry production.","","dessert chef; pastry specialist; patissier","dessert plating; pastry techniques; food safety certificate; decorating and finishing; recipe scaling","","Baker","Baker; Sous Chef; Kitchen Assistant","Room Attendant; Landscaping","",en,hospitality/kitchen,guess
Waitstaff,"Takes orders and serves food and drinks to guests in a restaurant or dining room.","","waiter; waitress; wait staff; floor staff; server","order taking; POS/till; food and beverage service; customer service; table setting","","Banquet Server","Banquet Server; Bartender; Front Desk Agent; Event Host","Landscaping; Room Attendant","",en,hospitality/F&B,guess
Waitstaff,"Fine-dining table service specializing in formal etiquette, wine and beverage pairing, and course-paced upselling for upscale venues.","fine_dining","fine dining server; formal waitstaff; upscale server","wine and beverage pairing service; formal table etiquette; course-paced service timing; upselling and menu recommendation","","","Banquet Server; Bartender; Sommelier; Front Desk Agent","Landscaping; Room Attendant","",en,hospitality/F&B,guess
Banquet Server,"Serves food and beverages to large groups at scheduled events, functions, or banquets.","","event server; function server; banquet waitstaff","large-group food service; event setup; tray service; customer service; teamwork under time pressure","","Waitstaff; Event Runner","Waitstaff; Event Runner; Banquet and Event F&B Supervisor","Landscaping; AV Stagehand","",en,hospitality/events,guess
Front Desk Agent,"Handles guest check-in/check-out, reservations, and front-office transactions at a hotel.","","front desk clerk; reception agent; front office agent; guest services agent","check-in/check-out procedures; PMS operation; cash handling; customer service; phone and email etiquette","","Guest Relations Host; Concierge Staff","Concierge Staff; Guest Relations Host; Waitstaff","Landscaping; Bar Back","",en,hospitality/front-office,guess
Guest Relations Host,"Manages guest experience and satisfaction, resolving issues and coordinating personalized service.","","guest relations officer; guest experience host; guest services host","guest experience management; complaint resolution; VIP handling; customer service; event coordination","","Front Desk Agent; Concierge Staff","Front Desk Agent; Concierge Staff; Event Host","Cleaner; Landscaping","",en,hospitality/front-office,guess
